RegionID,SizeRank,RegionName,RegionType,State Name,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021,31-01-2022,28-02-2022,31-03-2022,30-04-2022,31-05-2022,30-06-2022,31-07-2022,31-08-2022,30-09-2022,31-10-2022,30-11-2022,31-12-2022,31-01-2023,28-02-2023
753875,176,"Crestview, FL",msa,California,273053,273410,275016,282597,282184,282165,270238,269525,266780,270762,269589,273557,279690,284109,286583,286537,291983,289201,289144,286848,289210,291977,298190,316023,335137,351984,355258,360656,360129,363173,366196,369947,379508,383062,376657,372550,361821,369735,376792,387234,399034,401107,405455,405195,424646,431190,439341,412355,405808,397958,403061,403479,400943,395914,397493
394851,177,"Merced, CA",msa,Texas,261556,262007,264580,262152,258441,261241,261944,266154,266604,271420,278853,278051,277463,275518,280940,280535,279434,282746,286338,288507,284916,282539,284954,287886,301249,306535,310572,312051,314980,317135,316840,323905,331571,340841,352482,360900,366650,367338,369580,371561,370756,375899,385577,399198,405111,409822,403840,402168,391662,391419,388496,383226,374549,364785,371194
395197,178,"Waco, TX",msa,Iowa,185841,188908,188985,186667,184401,186535,189669,190279,191376,191504,195579,192670,197510,194442,197291,193185,191965,192917,194112,197868,195958,200943,204639,210552,210796,215083,222503,225535,224008,223816,224857,228763,231069,235283,240514,244739,249334,250852,246214,244484,247904,258100,262544,256855,253763,265373,269063,271837,264350,266491,274354,270245,262224,252119,257390
394447,179,"Cedar Rapids, IA",msa,New Jersey,158212,163221,161478,156090,153247,154372,158937,155954,159339,157436,161973,158190,159781,161840,166211,166310,164931,160513,160071,156970,161437,163257,165878,165280,167207,172284,175783,178028,178901,179164,180064,176383,175462,180258,188058,196471,200669,206114,213562,224762,236007,240598,240275,235482,240152,239783,260121,263231,266740,260115,255087,261532,251812,239514,221384
394348,180,"Atlantic City, NJ",msa,Washington,189460,192051,190465,186522,187961,189876,197044,196415,196471,193334,194987,194143,198180,199834,201059,198349,195846,198021,197558,202706,200770,209381,209836,216706,220290,225721,230271,232987,242202,245205,248650,247828,247891,245543,243963,245575,243695,244386,243199,252729,253782,258856,262320,271066,270191,276580,278986,289131,283756,278691,280134,278939,282133,279560,278752
394412,181,"Bremerton, WA",msa,South Dakota,329179,335129,334679,332239,327801,327810,331936,333574,334439,347986,355353,361382,361134,368056,371067,369834,368453,375366,379741,381933,382980,384182,388683,399998,403439,409715,406262,421707,422767,424976,419664,432318,449355,462930,473198,481348,483857,488070,489293,492215,492562,496546,498566,507905,519171,532638,553242,544335,538272,508364,502100,495022,491338,487544,481976
395103,182,"Sioux Falls, SD",msa,California,208847,206728,205560,210190,206449,205591,205718,208713,212161,209531,214353,216324,219710,214664,212738,215191,221797,223058,217396,217873,217861,221823,220932,224823,226914,232165,233001,234601,234970,237441,239470,239262,244610,247200,256596,260568,268270,270498,269115,265527,263851,264852,266802,268003,270706,285097,295936,307271,301909,299975,301264,298044,299548,290763,286320
395065,183,"Santa Cruz, CA",msa,Pennsylvania,793163,792470,795539,794442,792112,805479,808094,820737,824584,826794,813321,791997,793381,770664,771602,771313,806795,832747,823218,827584,803265,813356,802991,836158,850139,879975,882290,897184,883100,912194,922276,939908,961247,1009729,1022312,1038865,1030752,1029505,975684,967375,978928,1014537,1053879,1143640,1210743,1202230,1160359,1113096,1136567,1126458,1162702,1105401,1058545,1002009,1037257
394572,184,"Erie, PA",msa,Connecticut,126005,127153,126446,125855,122862,117402,116597,120906,125621,130506,132266,130419,130226,129372,130322,129032,130209,131805,131537,132474,133783,136974,135008,135424,136159,139832,143118,147738,149077,146200,139487,134607,132102,137519,140096,145087,146850,150794,152259,154939,156456,152162,147788,149054,151856,158670,159504,168811,164152,165324,165625,163512,166083,161751,167493
394924,185,"Norwich, CT",msa,Texas,220734,222746,224496,225151,223692,224013,221979,224510,225507,230747,231367,227947,227641,225562,230733,231455,233813,233012,231265,233290,237750,237885,240885,241634,249561,257083,262338,265593,262872,264393,268232,266392,276181,277632,285345,279313,279186,281283,281993,282690,285776,293802,293739,297014,292368,297133,299449,297712,297498,296713,308234,307615,304237,297354,298935
